student_id,skills_at_payment,snapshot_note
204,"Python,Power BI,Excel,Data Visualization,HTML",clean
267,"SQL,Excel,Stakeholder Management,React,Roadmapping",clean
153,"TypeScript,React,JavaScript,HTML,Git",clean
10,"TypeScript,Git,JavaScript,HTML",clean
234,"Machine Learning,Deep Learning,Excel,Docker,Python,SQL",clean
227,"CI/CD,Git,Docker",clean
197,"Docker,Linux,AWS,Kubernetes,SQL,Git,CI/CD",clean
110,"SQL,React,JavaScript,Deep Learning,Git",clean
6,"Docker,Machine Learning,SQL,Statistics,TensorFlow",stale_snapshot (missing Python)
176,"Spring Boot,Git,Java,REST API,SQL",clean
238,"Deep Learning,Pandas,SQL,ML,Git,HTML,Statistics",clean
58,"Test Automation,Java,Manual Testing",clean
219,"AWS,Kubernetes,Linux",clean
46,"Git,Microservices,SQL,Spring Boot,Java,REST API",clean
183,"SQL,Statistics,Python,Excel,Power BI,Data Visualization",clean
222,"Agile,Excel,Communication,Stakeholder Management,SQL",clean
290,"AWS,JavaScript,HTML,Git,CSS,React,TypeScript",clean
212,"Git,Kubernetes,CI/CD,AWS,Linux",clean
149,"Node.js,JavaScript,React",clean
166,"DL,AWS,CI/CD,Pandas,Linux,Git",stale_snapshot (missing Kubernetes)
79,"Roadmapping,SQL,Communication,Agile,Node.js",stale_snapshot (missing Excel)
114,"SQL,Git,AWS,Linux,Kubernetes",clean
250,"TypeScript,HTML,Selenium,JavaScript,React,Manual Testing",clean
251,"Power BI,SQL,REST API,Excel,Statistics,Data Visualization,Communication",clean
105,"Python,Data Visualization,Statistics,Linux",clean
43,"SQL,Pandas,Python,Deep Learning,ML",clean
282,"Statistics,SQL,Communication,Excel,Manual Testing,Data Visualization",clean
296,"TypeScript,Git,JavaScript,CSS,HTML",clean
158,"REST API,Git,Microservices,TensorFlow,Deep Learning,SQL",clean
239,"Git,SQL,Java,CSS,REST API,Spring Boot",clean
18,"SQL,Pandas,DL",clean
165,"Git,REST API,SQL,Node.js,React,JavaScript",clean
34,"Power BI,Data Visualization,Communication,SQL,Statistics,Excel,Git",clean
25,"Selenium,SQL,Communication,Excel,Roadmapping,Agile",clean
216,"SQL,HTML,Statistics,Python,Data Visualization,PowerBI,Excel",clean
120,"JavaScript,SQL,Git,Agile,Node.js,React",clean
8,"Statistics,Machine Learning,SQL,Git,Deep Learning",clean
91,"SQL,Node.js,React,JavaScript,Git,REST API",clean
47,"React,Statistics,Node.js,Power BI,JavaScript,SQL,Git",clean
74,"PowerBI,Machine Learning,Statistics,Python,Deep Learning,SQL,Pandas",clean
94,"CI/CD,Git,Docker,REST API,AWS,Microservices",clean
77,"HTML,TypeScript,Manual Testing,CSS",clean
287,"Deep Learning,Pandas,Python,Test Automation,SQL,Selenium",clean
61,"Machine Learning,Python,Deep Learning,SQL",clean
78,"TypeScript,CSS,React,JavaScript,SQL,Git",clean
64,"Pandas,Git,Machine Learning,TypeScript,CSS,React",clean
