student_id,name,skills,experience_years,education
1,Student_001,"Excel, SQL, C++, R, Teamwork, NLP, REST API, Deep Learning, Linux, AWS, Project Management, Machine Learning, JavaScript",1.7,B.Tech
2,Student_002,"TensorFlow, Keras, Project Management, SQL",2.2,MBA
3,Student_003,"Teamwork, MongoDB, Keras, AWS, JavaScript, Statistics, FastAPI, PostgreSQL, Python, Flask, Power BI, Docker, TensorFlow",1.4,BCA
4,Student_004,"Linux, Tableau, Power BI, Flask, Deep Learning, numpy",3.4,BSc
5,Student_005,"Machine Learning, Azure, Excel, Flask, Teamwork, C++, Data Visualization",3.3,BSc
6,Student_006,"scikit-learn, NLP, Machine Learning, Keras, Flask, Data Visualization, Project Management, PostgreSQL",0.9,B.Tech
7,Student_007,"C++, Azure, REST API, pandas, numpy, Communication, Tableau, Linux, Statistics",2.8,MBA
8,Student_008,"NLP, pandas, R, Agile, Keras, scikit-learn, Statistics, Git, Docker, C++, Excel, Linux, Problem Solving",3.4,B.Tech
9,Student_009,"Machine Learning, Git, FastAPI, C++, Teamwork, Tableau",3.7,BSc
10,Student_010,"Git, TensorFlow, Problem Solving, FastAPI, AWS, Azure, Teamwork, Keras, NLP, Statistics, MongoDB, Excel, C++, Docker",1.1,BSc
11,Student_011,"FastAPI, REST API, Keras, Statistics, Java, R, Machine Learning, Flask, SQL",3.4,BCA
12,Student_012,"pandas, PostgreSQL, NLP, Flask, scikit-learn, HTML/CSS, Keras, Java, Statistics, C++, Python, Linux, Deep Learning",2.7,BSc
13,Student_013,"C++, Linux, Excel, JavaScript, TensorFlow, Power BI, Keras, Python, REST API, MongoDB, Statistics, Java, Azure, FastAPI, Deep Learning",3.5,MCA
14,Student_014,"Project Management, scikit-learn, Data Visualization, REST API, Flask, Power BI, C++, Communication, Java, Python, HTML/CSS, pandas, R",0.1,MCA
15,Student_015,"HTML/CSS, R, Deep Learning, Agile, AWS, JavaScript, Machine Learning, Communication, REST API, Problem Solving, PostgreSQL, C++, NLP, Docker, FastAPI",3.8,BCA
16,Student_016,"Agile, PostgreSQL, TensorFlow, scikit-learn, Docker, Data Visualization, Problem Solving",4.0,MBA
17,Student_017,"AWS, Agile, Teamwork, Excel, Problem Solving, Communication, Machine Learning, pandas",0.1,BSc
18,Student_018,"Keras, Python, NLP, Deep Learning, Excel, Machine Learning",3.6,MCA
19,Student_019,"Project Management, R, C++, Problem Solving",0.9,BCA
20,Student_020,"Communication, R, Teamwork, MongoDB, Tableau, Deep Learning, Azure, Linux, TensorFlow, numpy, Problem Solving, Flask, Keras, SQL",2.7,MBA
21,Student_021,"Deep Learning, FastAPI, Linux, Tableau",1.0,BCA
22,Student_022,"AWS, Statistics, PostgreSQL, numpy, Agile, Keras, Excel, Project Management, Machine Learning, Azure, C++",0.4,MBA
23,Student_023,"Python, Power BI, R, pandas, TensorFlow, Project Management, Azure, Tableau, scikit-learn, SQL, Agile",1.5,M.Tech
24,Student_024,"Azure, JavaScript, PostgreSQL, Problem Solving, NLP, Tableau, Data Visualization",0.9,B.Tech
25,Student_025,"Teamwork, Deep Learning, Git, Agile, SQL, JavaScript, R, Java, PostgreSQL, Power BI, Communication, MongoDB",0.3,BCA
26,Student_026,"NLP, R, FastAPI, Excel",3.8,BSc
27,Student_027,"Machine Learning, Power BI, MongoDB, Git, Azure, Statistics",0.8,MBA
28,Student_028,"R, Java, FastAPI, Statistics, Linux, Git, Data Visualization, Keras",1.3,B.Tech
29,Student_029,"Azure, Tableau, NLP",2.2,BSc
30,Student_030,"Statistics, Docker, NLP, R, numpy, Data Visualization, Power BI",1.8,BSc
31,Student_031,"HTML/CSS, Agile, Python, Teamwork, Azure, Linux, Deep Learning, NLP, Statistics, AWS, FastAPI, REST API, C++, PostgreSQL",1.1,BSc
32,Student_032,"Linux, TensorFlow, Java, Problem Solving, Statistics, AWS",3.6,B.Tech
33,Student_033,"PostgreSQL, C++, Machine Learning, Python",1.3,BCA
34,Student_034,"Java, pandas, AWS, PostgreSQL, C++, Python, Deep Learning, Machine Learning, Docker, NLP, Communication, SQL, numpy",2.3,BCA
35,Student_035,"Statistics, Machine Learning, HTML/CSS, REST API, AWS, Azure, FastAPI, PostgreSQL, SQL",3.6,BCA
36,Student_036,"R, Tableau, Docker, MongoDB, HTML/CSS, REST API, NLP, Excel, Power BI, FastAPI, Problem Solving, TensorFlow, Python",0.7,MCA
37,Student_037,"MongoDB, R, C++, pandas, FastAPI, Docker, Deep Learning, scikit-learn, SQL, Agile, Excel, Tableau, Keras, numpy, Data Visualization",3.3,BCA
