session_id,student_id,window_index,true_label,baseline_decision,baseline_triggered,tuned_status,tuned_suspicion_score,tuned_reason,fixed
S00306,306,4,honest,CHEATING (false positive),looked away for 10.8s (>5s),SAFE,0.012,"looked away from the screen (10.8s, typical honest range is under 9.6s); head turned away from the screen (23.4deg, typical honest range is under 18deg)",True
S00389,389,4,honest,CHEATING (false positive),face not visible for 3.0s (>2s),SAFE,0.0,no signal stood out above what's typical for an honest test-taker,True
S00385,385,2,honest,CHEATING (false positive),voice/conversation detected,SAFE,0.0,voice/conversation picked up,True
S00014,14,8,honest,CHEATING (false positive),face not visible for 2.1s (>2s),SAFE,0.0,no signal stood out above what's typical for an honest test-taker,True
S00260,260,7,honest,CHEATING (false positive),looked away for 5.9s (>5s); face not visible for 7.2s (>2s); voice/conversation detected,SAFE,0.004,"voice/conversation picked up; face not visible to the camera (7.2s, typical honest range is under 5.9s)",True
S00038,38,4,honest,CHEATING (false positive),looked away for 6.2s (>5s),SAFE,0.026,"head turned away from the screen (23.7deg, typical honest range is under 18deg); switched away from the assessment window (3x, typical honest range is under 2x)",True
S00296,296,5,honest,CHEATING (false positive),looked away for 8.8s (>5s); face not visible for 2.9s (>2s),SAFE,0.002,no signal stood out above what's typical for an honest test-taker,True
S00200,200,7,honest,CHEATING (false positive),face not visible for 2.1s (>2s),SAFE,0.0,no signal stood out above what's typical for an honest test-taker,True
S00306,306,6,honest,CHEATING (false positive),looked away for 7.5s (>5s); face not visible for 5.0s (>2s),SAFE,0.008,"head turned away from the screen (20.5deg, typical honest range is under 18deg)",True
S00044,44,5,honest,CHEATING (false positive),face not visible for 7.9s (>2s); voice/conversation detected,SAFE,0.004,"voice/conversation picked up; face not visible to the camera (7.9s, typical honest range is under 5.9s)",True
S00012,12,7,honest,CHEATING (false positive),looked away for 7.0s (>5s); face not visible for 6.8s (>2s),SAFE,0.001,"face not visible to the camera (6.8s, typical honest range is under 5.9s)",True
S00155,155,3,honest,CHEATING (false positive),face not visible for 12.5s (>2s); switched tabs 3 times (>2),SAFE,0.002,"face not visible to the camera (12.5s, typical honest range is under 5.9s)",True
S00248,248,4,honest,CHEATING (false positive),looked away for 8.6s (>5s); switched tabs 3 times (>2),SAFE,0.022,no signal stood out above what's typical for an honest test-taker,True
S00083,83,1,honest,CHEATING (false positive),looked away for 5.4s (>5s); face not visible for 2.2s (>2s),SAFE,0.001,no signal stood out above what's typical for an honest test-taker,True
