job_id,title,company,location,required_skills,nice_to_have_skills,min_score_threshold,min_cgpa,posted_date,openings
JD_0001,Frontend Developer,Zoho,Kolkata,"[""JavaScript"", ""React"", ""Node.js"", ""Git"", ""Java"", ""Tableau""]","[""REST APIs"", ""Communication""]",64,6.6,2024-07-12,4
JD_0002,Data Engineer,Swiggy,Bangalore,"[""Python"", ""SQL"", ""Spark"", ""Docker"", ""Cloud (AWS/GCP/Azure)""]","[""Git"", ""Data Analysis""]",72,6.8,2024-09-04,9
JD_0003,Data Analyst,Razorpay,Chennai,"[""Python"", ""SQL"", ""Data Analysis"", ""Statistics"", ""Excel"", ""Deep Learning"", ""Tableau""]","[""Tableau"", ""Communication""]",63,6.4,2024-10-10,3
JD_0004,Data Engineer,Meesho,Noida,"[""Python"", ""SQL"", ""Spark"", ""Docker"", ""Cloud (AWS/GCP/Azure)""]","[""Git"", ""Data Analysis""]",69,7.3,2024-06-07,7
JD_0005,Data Analyst,Meesho,Remote,"[""Python"", ""SQL"", ""Data Analysis"", ""Statistics"", ""Excel""]","[""Tableau"", ""Communication""]",61,7.5,2024-09-04,4
JD_0006,Data Analyst,Zomato,Bangalore,"[""Python"", ""SQL"", ""Data Analysis"", ""Statistics"", ""Excel"", ""Tableau"", ""NLP""]","[""Tableau"", ""Communication""]",60,6.1,2024-09-29,3
JD_0007,Data Engineer,Infosys,Hyderabad,"[""Python"", ""SQL"", ""Spark"", ""Docker"", ""Cloud (AWS/GCP/Azure)""]","[""Git"", ""Data Analysis""]",70,5.5,2024-07-26,3
JD_0008,Backend Engineer,Flipkart,Chennai,"[""Python"", ""REST APIs"", ""Docker"", ""Git"", ""SQL""]","[""Java"", ""Cloud (AWS/GCP/Azure)""]",69,6.0,2024-07-02,1
JD_0009,ML Engineer,MindTree,Ahmedabad,"[""Python"", ""Machine Learning"", ""SQL"", ""Git"", ""Docker"", ""NLP"", ""Problem Solving""]","[""Deep Learning"", ""Cloud (AWS/GCP/Azure)"", ""REST APIs""]",71,6.6,2024-11-09,9
JD_0010,Backend Engineer,Freshworks,Mumbai,"[""Python"", ""REST APIs"", ""Docker"", ""Git"", ""SQL"", ""JavaScript"", ""Machine Learning""]","[""Java"", ""Cloud (AWS/GCP/Azure)""]",63,6.6,2024-07-18,2
